Package Name,Functions,Data Safety Labels
com.ducktrine.plughead,"java.io.File.getFreeSpace,android.telephony.TelephonyManager.getNetworkCountryIso,java.io.File.getTotalSpace,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkOperatorName","Other app performance data,Personal info,App activity"
com.dufftranslate.cameratranslatorapp21,"android.telephony.TelephonyManager.getNetworkOperatorName,android.os.PowerManager.getCurrentThermalStatus","Personal info,Diagnostics"
com.duosecurity.duomobile,"android.content.ContentProvider.openTypedAssetFile,android.media.RingtoneManager.getRingtone","Files and docs,Audio files,Music files"
com.dvloper.granny,android.os.StrictMode.getThreadPolicy,App info and performance
com.dxm.nopuzzle,"android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso",Personal info
com.dysugar.jewels.prince,"android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkOperatorName,java.io.File.getFreeSpace,android.net.wifi.WifiInfo.getSSID,android.os.PowerManager.getCurrentThermalStatus,android.telephony.TelephonyManager.getNetworkOperator,android.os.StrictMode.getThreadPolicy,java.io.File.getTotalSpace,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkCountryIso","App activity,Personal info,App info and performance,Other app performance data,Device or other IDs,Diagnostics"
com.dywx.larkplayer,"android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.TelephonyManager.getNetworkOperatorName",Personal info
com.ea.gp.easportsufc2,android.telephony.TelephonyManager.getNetworkOperatorName,Personal info
com.easilydo.mail,"android.os.StrictMode.getThreadPolicy,android.os.StrictMode.getVmPolicy,java.io.File.getUsableSpace,android.os.PowerManager.getCurrentThermalStatus","App info and performance,Other app performance data,Diagnostics"
com.EastGameStd.MinecraftFNF,"java.io.File.getTotalSpace,java.io.File.getFreeSpace",Other app performance data
com.eastsidegames.theofficeswm,java.io.File.getUsableSpace,Other app performance data
